# omega (eV)     <Re(Eps)>     <Im(Eps)>
10.85585586    -0.75961069    0.49903107
10.87087087    -0.75558375    0.49818731
10.88588589    -0.75125244    0.49653568
10.90090090    -0.74664259    0.49519350
10.91591592    -0.74307094    0.49428982
10.93093093    -0.74106401    0.49218760
10.94594595    -0.73914326    0.48757392
10.96096096    -0.73538230    0.48088102
10.97597598    -0.72871975    0.47367038
10.99099099    -0.71923999    0.46786232
11.00600601    -0.70837681    0.46508608
11.02102102    -0.69853648    0.46531686
11.03603604    -0.69083786    0.46671243
11.05105105    -0.68466175    0.46807304
11.06606607    -0.67954574    0.46916987
11.08108108    -0.67519120    0.46972763
11.09609610    -0.67107482    0.46970001
11.11111111    -0.66686639    0.46953250
