# omega (eV)     <Re(Eps)>     <Im(Eps)>
8.04804805    -2.12516873    1.96626698
8.06306306    -2.10975169    1.94978316
8.07807808    -2.08826819    1.93466615
8.09309309    -2.06194213    1.92545028
8.10810811    -2.03586014    1.92561106
8.12312312    -2.01743753    1.93213484
8.13813814    -2.00712104    1.93704473
8.15315315    -1.99984335    1.93723576
8.16816817    -1.99202890    1.93364077
8.18318318    -1.98205102    1.92841466
8.19819820    -1.97024974    1.92255775
8.21321321    -1.95457570    1.91604916
8.22822823    -1.93267965    1.91336047
8.24324324    -1.90745917    1.92056053
8.25825826    -1.88637970    1.94077962
8.27327327    -1.87895727    1.97033960
8.28828829    -1.88862692    1.99859354
8.30330330    -1.91007425    2.01763065
8.31831832    -1.93774896    2.02620942
8.33333333    -1.96925459    2.02331595
8.34834835    -1.99997032    2.00600950
8.36336336    -2.02055279    1.97548136
8.37837838    -2.02485328    1.94255065
8.39339339    -2.01958098    1.91814687
8.40840841    -2.01475734    1.90098706
8.42342342    -2.01186693    1.88542582
8.43843844    -2.00899832    1.87015961
8.45345345    -2.00595143    1.85589950
8.46846847    -2.00386140    1.84243227
8.48348348    -2.00311788    1.82804945
8.49849850    -2.00188758    1.81113986
8.51351351    -1.99736131    1.79302488
8.52852853    -1.98950054    1.77687849
8.54354354    -1.98034617    1.76462471
8.55855856    -1.97299321    1.75660919
8.57357357    -1.97007050    1.75051793
8.58858859    -1.97172493    1.74310044
8.60360360    -1.97620174    1.73191444
8.61861862    -1.98059171    1.71623368
8.63363363    -1.98245158    1.69768324
8.64864865    -1.98173150    1.67887641
8.66366366    -1.98031270    1.66104075
8.67867868    -1.98039819    1.64302525
8.69369369    -1.98158414    1.62151984
8.70870871    -1.98012275    1.59577751
8.72372372    -1.97433158    1.56814776
8.73873874    -1.96381331    1.53954969
8.75375375    -1.94655206    1.51207618
8.76876877    -1.92349851    1.49099084
8.78378378    -1.90062931    1.47834996
8.79879880    -1.88208998    1.47072214
8.81381381    -1.86786043    1.46469048
8.82882883    -1.85744117    1.45896756
8.84384384    -1.85117955    1.45123534
8.85885886    -1.84574063    1.43793262
8.87387387    -1.83472299    1.42153614
8.88888889    -1.81856042    1.40955982
8.90390390    -1.80367379    1.40415596
8.91891892    -1.79442262    1.40186597
8.93393393    -1.79094871    1.39774970
8.94894895    -1.78984813    1.38937932
8.96396396    -1.78921147    1.37769675
8.97897898    -1.78874064    1.36171866
8.99399399    -1.78446835    1.34062692
9.00900901    -1.77312737    1.31923165
9.02402402    -1.75793929    1.30250076
9.03903904    -1.74374951    1.28957338
9.05405405    -1.73110740    1.27693540
9.06906907    -1.71775802    1.26378173
9.08408408    -1.70297626    1.25175333
9.09909910    -1.68796852    1.24164693
9.11411411    -1.67358057    1.23307510
9.12912913    -1.66048178    1.22540872
9.14414414    -1.64851081    1.21721856
9.15915916    -1.63590464    1.20794940
9.17417417    -1.62112975    1.19957669
9.18918919    -1.60629080    1.19458477
9.20420420    -1.59431148    1.19110686
9.21921922    -1.58389352    1.18642971
9.23423423    -1.57268627    1.18138232
9.24924925    -1.56126443    1.17841234
9.26426426    -1.55254067    1.17744636
9.27927928    -1.54745678    1.17556174
9.29429429    -1.54408025    1.17085248
9.30930931    -1.54041646    1.16377057
9.32432432    -1.53585496    1.15560918
9.33933934    -1.53123473    1.14750646
9.35435435    -1.52842756    1.13830064
9.36936937    -1.52604321    1.12483978
9.38438438    -1.52011717    1.10753398
9.39939940    -1.50934162    1.08929971
9.41441441    -1.49396134    1.07187757
9.42942943    -1.47367492    1.05702457
9.44444444    -1.44923560    1.04792042
9.45945946    -1.42431796    1.04760984
9.47447447    -1.40538323    1.05575949
9.48948949    -1.39723736    1.06630383
9.50450450    -1.39835332    1.07138337
9.51951952    -1.40221982    1.06705731
9.53453454    -1.40237711    1.05537919
9.54954955    -1.39691128    1.04117993
9.56456456    -1.38718522    1.02726384
9.57957958    -1.37432763    1.01415047
9.59459460    -1.35792743    1.00231738
9.60960961    -1.33813422    0.99402178
9.62462462    -1.31734156    0.99062312
9.63963964    -1.29735496    0.99158615
9.65465465    -1.27916188    0.99654212
9.66966967    -1.26381737    1.00540630
9.68468469    -1.25365827    1.01827605
9.69969970    -1.25259326    1.03210712
9.71471471    -1.26064141    1.03955424
9.72972973    -1.27079344    1.03528796
9.74474475    -1.27401175    1.02169961
9.75975976    -1.26658264    1.00717368
9.77477477    -1.25230168    0.99938634
9.78978979    -1.23887614    1.00032247
9.80480480    -1.23249159    1.00543634
9.81981982    -1.23292348    1.00724232
9.83483484    -1.23407385    1.00228206
9.84984985    -1.23041145    0.99367882
9.86486486    -1.22176613    0.98715334
9.87987988    -1.21242996    0.98547589
9.89489490    -1.20648905    0.98668819
9.90990991    -1.20425134    0.98680969
9.92492492    -1.20300743    0.98415514
9.93993994    -1.20090245    0.97958480
9.95495495    -1.19713083    0.97409004
9.96996997    -1.19129396    0.96928294
9.98498499    -1.18460712    0.96673880
10.00000000    -1.17883375    0.96659517
10.01501501    -1.17546823    0.96825379
10.03003003    -1.17588732    0.97001525
10.04504505    -1.17977536    0.96911751
10.06006006    -1.18475228    0.96369939
10.07507508    -1.18757980    0.95414686
10.09009009    -1.18633598    0.94321519
10.10510510    -1.18184634    0.93409318
10.12012012    -1.17704753    0.92802595
10.13513514    -1.17433908    0.92330101
10.15015015    -1.17327887    0.91761541
10.16516516    -1.17259257    0.91078635
10.18018018    -1.17242354    0.90290608
10.19519520    -1.17243087    0.89276909
10.21021021    -1.17045691    0.87994175
10.22522523    -1.16456532    0.86643827
10.24024024    -1.15535356    0.85524111
10.25525525    -1.14548953    0.84746923
10.27027027    -1.13684164    0.84194398
10.28528529    -1.12988198    0.83742687
10.30030030    -1.12472360    0.83248032
10.31531531    -1.11983886    0.82580290
10.33033033    -1.11319774    0.81833017
10.34534535    -1.10471301    0.81238954
10.36036036    -1.09627407    0.80921936
10.37537538    -1.08983679    0.80846223
10.39039039    -1.08723210    0.80860820
10.40540540    -1.08874389    0.80630321
10.42042042    -1.09133980    0.79903430
10.43543544    -1.09133224    0.78777682
10.45045045    -1.08728507    0.77548280
10.46546546    -1.07998404    0.76489487
10.48048048    -1.07187778    0.75753569
10.49549550    -1.06593196    0.75237316
10.51051051    -1.06287954    0.74613986
10.52552553    -1.06015640    0.73658519
10.54054054    -1.05468295    0.72485669
10.55555556    -1.04605407    0.71381522
10.57057057    -1.03588069    0.70478113
10.58558559    -1.02534326    0.69776793
10.60060060    -1.01557791    0.69243773
10.61561562    -1.00699970    0.68737247
10.63063063    -0.99840451    0.68193472
10.64564565    -0.98926651    0.67701338
10.66066066    -0.97996040    0.67301316
10.67567568    -0.97065173    0.67053306
10.69069069    -0.96309456    0.67018645
10.70570571    -0.95929138    0.66973631
10.72072072    -0.95787790    0.66581857
10.73573574    -0.95507772    0.65774074
10.75075075    -0.94793308    0.64831042
10.76576577    -0.93726011    0.64176927
10.78078078    -0.92690377    0.63953249
10.79579580    -0.91992588    0.63963708
10.81081081    -0.91680829    0.63861229
10.82582583    -0.91507402    0.63411243
10.84084084    -0.91191664    0.62684190
10.85585586    -0.90666189    0.61859929
10.87087087    -0.89946865    0.61018101
10.88588589    -0.89019651    0.60245185
10.90090090    -0.87946504    0.59643314
10.91591592    -0.86811346    0.59245345
10.93093093    -0.85688845    0.59083623
10.94594595    -0.84715597    0.59155622
10.96096096    -0.84008881    0.59331191
10.97597598    -0.83539098    0.59441608
10.99099099    -0.83188218    0.59436483
11.00600601    -0.82931597    0.59361091
11.02102102    -0.82816268    0.59149027
11.03603604    -0.82734795    0.58677734
11.05105105    -0.82517793    0.57987422
11.06606607    -0.82089926    0.57174473
11.08108108    -0.81376207    0.56365388
11.09609610    -0.80436949    0.55790782
11.11111111    -0.79541842    0.55526422
11.12612613    -0.78882692    0.55389722
